Patrick Swayze,Amerikanska_TV-skådespelare
Peter Weller,Amerikanska_TV-skådespelare
River Phoenix,Amerikanska_TV-skådespelare
Rod Steiger,Amerikanska_TV-skådespelare
Susan Sarandon,Amerikanska_TV-skådespelare
Wesley Snipes,Amerikanska_TV-skådespelare
Zsa Zsa Gabor,Amerikanska_TV-skådespelare
glödlampa,Amerikanska_uppfinningar
Mellanamerika,Amerikas_geografi
amfetamin,Amfetaminer
blindgångare,Ammunition
splitter,Ammunition
Rena,Åmots_kommun
spektroskopi,Analysmetoder_på_nanoskalan
intention,Analytisk_filosofi
koordinatsystem,Analytisk_geometri
indragning,Anatomi
knytnäve,Anatomi
osteologi,Anatomi
cylinder,Andragradsytor
narkos,Anestesi
Ångermanälven,Ångermanälvens_avrinningsområde
Vojmån,Ångermanälvens_avrinningsområde
skyddsängel,Änglar
ångpanna,Ångteknik
besvärjelse,Animism
absint,Anisbrännvin
anläggning,Anläggningar
paternosterverk,Anläggningsmaskiner
traktor,Anläggningsmaskiner
väghyvel,Anläggningsmaskiner
pseudonym,Anonymitet
ansikte,Ansiktet
tinning,Ansiktet
mustasch,Ansiktshår
ögonbryn,Ansiktshår
ögonfrans,Ansiktshår
anställningsintervju,Anställning
arbetsförmedling,Anställning
heltid,Anställning
sommarjobb,Anställning
oaktsamhet,Ansvarighet
uppsåt,Ansvarighet
befogenhet,Ansvarsfrihet
tiotal,Antal
tretal,Antal
dussin,Antalsenheter
polarnatt,Antarktis
Sydpolen,Antarktis_geografi
antenn,Antenner
betablockerare,Antiarytmika
Trettioåriga kriget,Antikatolicism
Eudoxos,Antikens_astronomer
Hypatia,Antikens_filosofer
Euripides,Antikens_grekiska_dramatiker
Sofokles,Antikens_grekiska_dramatiker
Anaxagoras,Antikens_grekiska_filosofer
Aristippos,Antikens_grekiska_filosofer
Aristoteles,Antikens_grekiska_filosofer
Diotima,Antikens_grekiska_filosofer
Platon,Antikens_grekiska_filosofer
Archilochos,Antikens_grekiska_författare
Solon,Antikens_grekiska_författare
